	id_and_goal	utt_id	MIDAS	speaker	utt
17	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	3	statement_1	0	You just need more exercise .
18	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	4	statement_1	11111	Yes , but you need to slow down .
19	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	5	statement_1	11111	This is jogging , not racing !
20	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	6	other answers_1	0	I don't care .
21	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	7	opinion_1	0	I want to burn up my fat .
22	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	8	statement_2	11111	But running so fast is not good for people over forties .
23	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	9	open question factual_1	0	Why ?
24	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	10	statement_3	11111	We are not as athletic as we were when young .
25	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	11	opinion_2	11111	Mild exercise is more suitable for us .
26	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	12	opinion_2	0	But I want to burn up more calories !
27	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	13	statement_4	11111	In fact , in order to burn up your fat , you must take it slowly for a longer time .
28	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	14	back-channeling_1	0	Really ?
29	7274: [1] statement_1 [2] other answers_1 [3] opinion_1 [4] statement_2 [5] open question factual_1 [6] statement_3 [7] opinion_2 [8] statement_4 [9] back-channeling_1 [10] opinion_3	15	opinion_3	0	I will slow down then .
30	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	0	command_1	0	House keeping.
31	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	1	yes no question_1	0	May I come in ?
32	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	2	command_2	11111	Come in please .
33	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	3	closing_1	0	Good evening , sir .
34	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	4	statement_1	0	I come to make the bed .
35	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	5	yes no question_2	0	Shall I do it now or later ?
36	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	6	statement_2	11111	Well , since you have come , do it now please ?
37	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	7	comment_1	0	That's all .
38	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	8	opinion_1	0	Have a nice stay here .
39	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	9	thanking_1	11111	Thank you.
40	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	10	command_3	11111	Please get some soap for us .
41	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	11	opinion_2	0	Just a moment .
42	9882: [1] command_1 [2] yes no question_1 [3] command_2 [4] closing_1 [5] statement_1 [6] yes no question_2 [7] statement_2 [8] comment_1 [9] opinion_1 [10] thanking_1 [11] command_3 [12] opinion_2 [13] statement_3	12	statement_3	0	I will do it right now .
43	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	0	abandon_1	0	Honey , have you all packed ?
44	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	1	statement_1	11111	Almost ready .
45	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	2	statement_1	11111	I am making a double check .
46	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	3	statement_1	0	It is cold on the mountain .
47	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	4	yes no question_1	0	Have you packed the windshelled clothes and bodywarmers ?
48	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	5	pos answer_1	11111	Of course .
49	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	6	statement_2	11111	And I have also packed two umbrellas just in case of raining .
50	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	7	comment_1	0	You are so thoughtful .
51	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	8	yes no question_2	0	Do you think our tent will be working well ?
52	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	9	pos answer_2	11111	Of course .
53	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	10	statement_3	11111	I just bought it last year .
54	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	11	command_1	0	What about our mobile phones and cameras ?
55	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	12	yes no question_3	0	Did you charge them last night ?
56	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	13	pos answer_3	11111	Yes , I did .
57	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	14	other answers_1	11111	Don't worry .
58	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	15	back-channeling_1	0	Good .
59	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	16	opinion_1	0	We should tell our neighbour that they can call the police if some emergency happens to us .
60	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	17	pos answer_4	11111	Yes .
61	9352: [1] abandon_1 [2] statement_1 [3] yes no question_1 [4] pos answer_1 [5] statement_2 [6] comment_1 [7] yes no question_2 [8] pos answer_2 [9] statement_3 [10] command_1 [11] yes no question_3 [12] pos answer_3 [13] other answers_1 [14] back-channeling_1 [15] opinion_1 [16] pos answer_4 [17] statement_4	18	statement_4	11111	You think a lot , too .
62	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	0	opinion_1	0	I'm so glad I bought this watch !
63	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	1	comment_1	11111	Cool !
64	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	2	statement_1	11111	Flashy red lines !
65	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	3	opinion_2	0	I think this is the coolest watch I've ever owned .
66	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	4	yes no question_1	11111	Is it waterproof ?
67	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	5	yes no question_1	0	Isn't that a silly question ?
68	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	6	statement_2	0	You know how much of an athlete I am .
69	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	7	back-channeling_1	11111	Uh , huh ... so what kind of sports do you need a waterproof watch for ?
70	4668: [1] opinion_1 [2] comment_1 [3] statement_1 [4] opinion_2 [5] yes no question_1 [6] statement_2 [7] back-channeling_1 [8] statement_3	8	statement_3	0	Well , surfing , scuba diving ...
71	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	0	open question factual_1	0	how are you doing , Christopher ?
72	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	1	statement_1	11111	to be honest , I'm really fed up with work at the moment .
73	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	2	statement_1	11111	I need a break !
74	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	3	yes no question_1	0	are you doing anything this weekend ?
75	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	4	statement_2	11111	I have to work on Saturday all day !
76	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	5	opinion_1	11111	I really hate my job !
77	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	6	yes no question_2	0	are you available on Sunday ?
78	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	7	pos answer_1	11111	yes , that's my only day off until Thursday .
79	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	8	statement_3	0	ok , well , my friends and I are planning on going to the beach on Sunday .
80	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	9	statement_3	0	We tend to leave around noon whenever we go anywhere , so you could still sleep in .
81	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	10	yes no question_3	0	Do you want to come with us ?
82	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	11	comment_1	11111	that'd be fantastic !
83	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	12	open question factual_2	11111	Which beach are you going to ?
84	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	13	statement_4	0	it's a quiet beach just about an hour outside of the city .
85	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	14	open question factual_3	11111	what should I bring with me ?
86	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	15	statement_5	0	we've got plenty of inflatables , but if you want to sit on a chair , you'll have to bring your own sunlounger .
87	8635: [1] open question factual_1 [2] statement_1 [3] yes no question_1 [4] statement_2 [5] opinion_1 [6] yes no question_2 [7] pos answer_1 [8] statement_3 [9] yes no question_3 [10] comment_1 [11] open question factual_2 [12] statement_4 [13] open question factual_3 [14] statement_5 [15] opinion_2 [16] yes no question_4 [17] statement_6 [18] yes no question_5 [19] statement_7 [20] opinion_3 [21] other answers_1 [22] comment_2 [23] open question factual_4 [24] statement_8 [25] open question factual_5 [26] statement_9 [27] yes no question_6	16	statement_5	11111	I can just use my beach towel .
