	id_and_goal	utt_id	open_goal_cut	open_goal	speaker	utt
33	2: [1] reports_1 [2] shows_1 [3] wants_1 [4] explains_1 [5] wants_2 [6] clarifies_1 [7] wants_3 [8] reports_2 [9] expresses_1	9	expresses_1	expresses hope for future energy sources	speaker_1	We're hoping to use even more energy from alternative sources in the future - perhaps even wind power.
34	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	0	wants_1	wants to share information about tea popularity	speaker_1	Believe it or not, tea is the most popular beverage in the world after water.
35	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	1	agrees_1	agrees with speaker 1	speaker_2	Well, people from Asia to Europe all enjoy tea.
36	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	2	agrees_1	agreement	speaker_1	Right.
37	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	3	wants_2	wants to emphasize the origin of tea	speaker_1	And China is the homeland of tea.
38	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	4	agrees_2	agrees with speaker 1	speaker_2	Yes, Chinese people love drinking tea so much.
39	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	5	shares_1	shares additional information about tea popularity	speaker_2	Some even claim they can't live without tea.
40	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	6	wants_3	wants to know if speaker 2 is aware of tea categories	speaker_1	Do you know there are several categories of Chinese tea?
41	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	7	lists_1	lists known tea categories	speaker_2	Yes, I believe there are green teas, black teas and scented teas.
42	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	8	wants_4	wants to know if there are other tea categories	speaker_2	Any others?
43	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	9	wants_4	wants to share additional tea categories	speaker_1	Well, have you ever heard of Oulong tea and compressed tea?
44	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	10	agrees_3	agreement	speaker_2	Oh, yeah.
45	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	11	shares_2	shares opinion about Oulong tea	speaker_2	Oulong tea is good for one's health.
46	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	12	seeks_1	seeks confirmation	speaker_2	Isn't it?
47	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	13	compliments_1	compliments speaker 2's knowledge	speaker_1	You surely know a lot about Chinese tea.
48	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	14	shares_3	shares personal information about tea drinking habits	speaker_2	Sure, I like drinking tea at teahouses.
49	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	15	agrees_4	agrees with speaker 2	speaker_1	Oh, so do I.
50	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	16	proposes_1	proposes to go to a teahouse	speaker_2	Why don't we go for one now?
51	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	17	agrees_5	agrees with speaker 2	speaker_1	Great.
52	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	18	wants_5	wants to socialize over tea	speaker_1	We can chat while enjoying a cup there.
53	3: [1] wants_1 [2] agrees_1 [3] wants_2 [4] agrees_2 [5] shares_1 [6] wants_3 [7] lists_1 [8] wants_4 [9] agrees_3 [10] shares_2 [11] seeks_1 [12] compliments_1 [13] shares_3 [14] agrees_4 [15] proposes_1 [16] agrees_5 [17] wants_5 [18] confirms_1	19	confirms_1	confirms the plan to go to a teahouse	speaker_2	Let's go!
54	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	0	wants_1	wants to know speaker_2's weaknesses	speaker_1	What are your personal weaknesses?
55	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	1	acknowledges_1	acknowledges a personal weakness	speaker_2	I’m afraid I’m a poor talker.
56	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	2	explains_1	explains the weakness	speaker_2	I’m not comfortable talking with the people whom I have just met for the first time.
57	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	3	acknowledges_2	acknowledges the impact of the weakness and is trying to improve	speaker_2	That is not very good for business, so I have been studying public speaking.
58	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	4	wants_2	wants to know speaker_2's leadership style	speaker_1	Are you more of a leader or a follower?
59	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	5	describes_1	describes leadership style	speaker_2	I don’t try to lead people.
60	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	6	explains_2	explains leadership style	speaker_2	I’d rather cooperate with everybody, and get the job done by working together.
61	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	7	wants_3	wants to know speaker_2's English proficiency	speaker_1	Do you think you can make yourself easily understood in English?
62	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	8	confirms_1	confirms English proficiency	speaker_2	Yes, in most circumstances.
63	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	9	wants_4	wants to know speaker_2's availability for travel	speaker_1	Are you available for travel?
64	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	10	confirms_2	confirms availability for travel	speaker_2	Yes, I like travelling.
65	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	11	provides_1	provides additional information	speaker_2	I am young, and unmarried.
66	4: [1] wants_1 [2] acknowledges_1 [3] explains_1 [4] acknowledges_2 [5] wants_2 [6] describes_1 [7] explains_2 [8] wants_3 [9] confirms_1 [10] wants_4 [11] confirms_2 [12] provides_1 [13] confirms_3	12	confirms_3	confirms ease of frequent travel	speaker_2	It’s no problem for me to travel frequently.
67	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	0	wants_1	wants to know the estimated time of arrival	speaker_1	how long will it take us to drive to London?
68	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	1	provides_1	provides information about the distance and estimated travel time	speaker_2	I think it’s a distance of 180 kilometers from here to London, so it should be a two-hour drive on the motorway.
69	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	2	points_1	points out a potential delay	speaker_1	that’s unless there is a traffic jam.
70	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	3	gives_1	gives a revised estimate	speaker_1	It could take three hours.
71	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	4	agrees_1	agreement	speaker_2	you’re right.
72	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	5	provides_2	provides additional information about travel conditions	speaker_2	We will be able to travel at high speeds at the beginning and end of the journey, because we will be in built-up areas.
73	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	6	wants_2	wants to confirm the revised estimate	speaker_1	so, shall we allow three hours to cover the distance?
74	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	7	agrees_2	agreement	speaker_2	ok.
75	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	8	wants_3	wants to know if the speaker has seen the company car	speaker_2	You haven’t seen my company car, have you?
76	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	9	answers_1	answers the question	speaker_1	no.
77	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	10	gives_2	gives an observation	speaker_1	let me take a look... it’s longer than my car.
78	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	11	provides_3	provides information about the length of the car	speaker_2	I think it’s over five meters long.
79	5: [1] wants_1 [2] provides_1 [3] points_1 [4] gives_1 [5] agrees_1 [6] provides_2 [7] wants_2 [8] agrees_2 [9] wants_3 [10] answers_1 [11] gives_2 [12] provides_3 [13] admits_1 [14] provides_4 [15] expresses_1 [16] comments_1 [17] points_2 [18] agrees_3 [19] explains_1	12	admits_1	admits to not remembering the exact length	speaker_2	I can’t remember exactly.
