	id_and_goal	utt_id	durec_goal_1	speaker	utt
35	3: [1] chat about other_1 [2] chitchat about other_1	1	chat about other_1	speaker_2	Well, people from Asia to Europe all enjoy tea.
36	3: [1] chat about other_1 [2] chitchat about other_1	2	chat about other_1	speaker_1	Right.
37	3: [1] chat about other_1 [2] chitchat about other_1	3	chat about other_1	speaker_1	And China is the homeland of tea.
38	3: [1] chat about other_1 [2] chitchat about other_1	4	chat about other_1	speaker_2	Yes, Chinese people love drinking tea so much.
39	3: [1] chat about other_1 [2] chitchat about other_1	5	chat about other_1	speaker_2	Some even claim they can't live without tea.
40	3: [1] chat about other_1 [2] chitchat about other_1	6	chat about other_1	speaker_1	Do you know there are several categories of Chinese tea?
41	3: [1] chat about other_1 [2] chitchat about other_1	7	chat about other_1	speaker_2	Yes, I believe there are green teas, black teas and scented teas.
42	3: [1] chat about other_1 [2] chitchat about other_1	8	chat about other_1	speaker_2	Any others?
43	3: [1] chat about other_1 [2] chitchat about other_1	9	chat about other_1	speaker_1	Well, have you ever heard of Oulong tea and compressed tea?
44	3: [1] chat about other_1 [2] chitchat about other_1	10	chat about other_1	speaker_2	Oh, yeah.
45	3: [1] chat about other_1 [2] chitchat about other_1	11	chat about other_1	speaker_2	Oulong tea is good for one's health.
46	3: [1] chat about other_1 [2] chitchat about other_1	12	chat about other_1	speaker_2	Isn't it?
47	3: [1] chat about other_1 [2] chitchat about other_1	13	chat about other_1	speaker_1	You surely know a lot about Chinese tea.
48	3: [1] chat about other_1 [2] chitchat about other_1	14	chat about other_1	speaker_2	Sure, I like drinking tea at teahouses.
49	3: [1] chat about other_1 [2] chitchat about other_1	15	chat about other_1	speaker_1	Oh, so do I.
50	3: [1] chat about other_1 [2] chitchat about other_1	16	chat about other_1	speaker_2	Why don't we go for one now?
51	3: [1] chat about other_1 [2] chitchat about other_1	17	chitchat about other_1	speaker_1	Great.
52	3: [1] chat about other_1 [2] chitchat about other_1	18	chitchat about other_1	speaker_1	We can chat while enjoying a cup there.
53	3: [1] chat about other_1 [2] chitchat about other_1	19	chitchat about other_1	speaker_2	Let's go!
54	4: [1] Q&A about other_1	0	Q&A about other_1	speaker_1	What are your personal weaknesses?
55	4: [1] Q&A about other_1	1	Q&A about other_1	speaker_2	I’m afraid I’m a poor talker.
56	4: [1] Q&A about other_1	2	Q&A about other_1	speaker_2	I’m not comfortable talking with the people whom I have just met for the first time.
57	4: [1] Q&A about other_1	3	Q&A about other_1	speaker_2	That is not very good for business, so I have been studying public speaking.
58	4: [1] Q&A about other_1	4	Q&A about other_1	speaker_1	Are you more of a leader or a follower?
59	4: [1] Q&A about other_1	5	Q&A about other_1	speaker_2	I don’t try to lead people.
60	4: [1] Q&A about other_1	6	Q&A about other_1	speaker_2	I’d rather cooperate with everybody, and get the job done by working together.
61	4: [1] Q&A about other_1	7	Q&A about other_1	speaker_1	Do you think you can make yourself easily understood in English?
62	4: [1] Q&A about other_1	8	Q&A about other_1	speaker_2	Yes, in most circumstances.
63	4: [1] Q&A about other_1	9	Q&A about other_1	speaker_1	Are you available for travel?
64	4: [1] Q&A about other_1	10	Q&A about other_1	speaker_2	Yes, I like travelling.
65	4: [1] Q&A about other_1	11	Q&A about other_1	speaker_2	I am young, and unmarried.
66	4: [1] Q&A about other_1	12	Q&A about other_1	speaker_2	It’s no problem for me to travel frequently.
67	5: [1] travel time_1 [2] ask about other_1	0	travel time_1	speaker_1	how long will it take us to drive to London?
68	5: [1] travel time_1 [2] ask about other_1	1	travel time_1	speaker_2	I think it’s a distance of 180 kilometers from here to London, so it should be a two-hour drive on the motorway.
69	5: [1] travel time_1 [2] ask about other_1	2	travel time_1	speaker_1	that’s unless there is a traffic jam.
70	5: [1] travel time_1 [2] ask about other_1	3	travel time_1	speaker_1	It could take three hours.
71	5: [1] travel time_1 [2] ask about other_1	4	travel time_1	speaker_2	you’re right.
72	5: [1] travel time_1 [2] ask about other_1	5	travel time_1	speaker_2	We will be able to travel at high speeds at the beginning and end of the journey, because we will be in built-up areas.
73	5: [1] travel time_1 [2] ask about other_1	6	travel time_1	speaker_1	so, shall we allow three hours to cover the distance?
74	5: [1] travel time_1 [2] ask about other_1	7	travel time_1	speaker_2	ok.
75	5: [1] travel time_1 [2] ask about other_1	8	ask about other_1	speaker_2	You haven’t seen my company car, have you?
76	5: [1] travel time_1 [2] ask about other_1	9	ask about other_1	speaker_1	no.
77	5: [1] travel time_1 [2] ask about other_1	10	ask about other_1	speaker_1	let me take a look... it’s longer than my car.
78	5: [1] travel time_1 [2] ask about other_1	11	ask about other_1	speaker_2	I think it’s over five meters long.
79	5: [1] travel time_1 [2] ask about other_1	12	ask about other_1	speaker_2	I can’t remember exactly.
80	5: [1] travel time_1 [2] ask about other_1	13	ask about other_1	speaker_2	It has a maximum speed of over 200 kilometers an hour.
81	5: [1] travel time_1 [2] ask about other_1	14	ask about other_1	speaker_1	wow!
82	5: [1] travel time_1 [2] ask about other_1	15	ask about other_1	speaker_1	That’s fast!
83	5: [1] travel time_1 [2] ask about other_1	16	ask about other_1	speaker_1	I don’t think we will be traveling that fast on the motorway.
84	5: [1] travel time_1 [2] ask about other_1	17	ask about other_1	speaker_2	we can’t.
85	5: [1] travel time_1 [2] ask about other_1	18	ask about other_1	speaker_2	if we went that fast, we would break the speed limit.
86	6: [1] Q&A about other_1	0	Q&A about other_1	speaker_1	So how did I do on my driving test?
87	6: [1] Q&A about other_1	1	Q&A about other_1	speaker_2	Do you want the truth?
88	6: [1] Q&A about other_1	2	Q&A about other_1	speaker_1	Of course, I do.
89	6: [1] Q&A about other_1	3	Q&A about other_1	speaker_2	Well, you really didn't do all that well.
90	6: [1] Q&A about other_1	4	Q&A about other_1	speaker_1	How bad did I do?
91	6: [1] Q&A about other_1	5	Q&A about other_1	speaker_2	To be completely honest, you failed your test.
92	6: [1] Q&A about other_1	6	Q&A about other_1	speaker_1	How?
93	6: [1] Q&A about other_1	7	Q&A about other_1	speaker_2	There were a number of reasons.
94	6: [1] Q&A about other_1	8	Q&A about other_1	speaker_1	What were they?
95	6: [1] Q&A about other_1	9	Q&A about other_1	speaker_2	Basically, you just can't drive.
96	6: [1] Q&A about other_1	10	Q&A about other_1	speaker_1	Can I have another try?
97	6: [1] Q&A about other_1	11	Q&A about other_1	speaker_2	You can take it in a couple weeks.
98	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	0	greeting_1	speaker_1	Good morning.
99	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	1	Q&A about other_1	speaker_1	What's the matter with you?
100	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	2	greeting_2	speaker_2	Good morning, doctor.
101	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	3	Q&A about other_2	speaker_2	I have a terrible headache.
102	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	4	Q&A about other_2	speaker_1	All right, young man.
103	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	5	Q&A about other_2	speaker_1	Tell me how it got started.
104	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	6	Q&A about other_2	speaker_2	Yesterday I had a runny nose.
105	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	7	Q&A about other_2	speaker_2	Now my nose is stuffed up.
106	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	8	Q&A about other_2	speaker_2	I have a sore throat.
107	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	9	Q&A about other_2	speaker_2	And I’m afraid I've got a temperature.
108	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	10	Q&A about other_2	speaker_2	I feel terrible.
109	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	11	Q&A about other_2	speaker_1	Don't worry, young man.
110	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	12	Q&A about other_2	speaker_1	Lat me give you an examination.
111	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	13	Q&A about other_2	speaker_1	First let me take a look at your throat.
112	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	14	Q&A about other_2	speaker_1	Open your mouth and say'ah'.
113	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	15	Q&A about other_2	speaker_2	Ah.
114	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	16	Q&A about other_2	speaker_1	Your throat is inflamed.
115	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	17	Q&A about other_2	speaker_1	And your tongue is heavily coated.
116	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	18	Q&A about other_2	speaker_1	You have all the symptoms of influenza.
117	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	19	Q&A about other_2	speaker_2	What am I supposed to do then?
118	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	20	Q&A about other_2	speaker_1	A good rest is all you need, and drink more water.
119	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	21	Q&A about other_2	speaker_1	I'll write you a prescription.
120	7: [1] greeting_1 [2] Q&A about other_1 [3] greeting_2 [4] Q&A about other_2 [5] saying goodbye_1	22	saying goodbye_1	speaker_2	Thank you very much.
121	8: [1] Q&A about food_1 [2] other_1	0	Q&A about food_1	speaker_1	My dear, what's for supper?
122	8: [1] Q&A about food_1 [2] other_1	1	Q&A about food_1	speaker_2	Red cooked carp and rape with fresh mushrooms.
123	8: [1] Q&A about food_1 [2] other_1	2	Q&A about food_1	speaker_1	What about soup?
124	8: [1] Q&A about food_1 [2] other_1	3	Q&A about food_1	speaker_2	Sour-peppery soup.
125	8: [1] Q&A about food_1 [2] other_1	4	Q&A about food_1	speaker_1	Which condiment do you use for?
126	8: [1] Q&A about food_1 [2] other_1	5	Q&A about food_1	speaker_2	I'll use ginger, garlic scallion, hot pepper and vinegar.
127	8: [1] Q&A about food_1 [2] other_1	6	Q&A about food_1	speaker_1	Very good, need I help you?
128	8: [1] Q&A about food_1 [2] other_1	7	Q&A about food_1	speaker_2	No, don't need, I can do myself.
129	8: [1] Q&A about food_1 [2] other_1	8	Q&A about food_1	speaker_1	Thanks.
130	8: [1] Q&A about food_1 [2] other_1	9	other_1	speaker_1	I can watch TV now.
131	8: [1] Q&A about food_1 [2] other_1	10	other_1	speaker_2	But you must cook that dinner next time.
132	8: [1] Q&A about food_1 [2] other_1	11	other_1	speaker_1	Okay, I'll do it next time.
133	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	0	greeting_1	speaker_1	Hello, this is Mike, Kara.
134	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	1	greeting_1	speaker_2	Mike!
135	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	2	greeting_1	speaker_2	Good to hear from you.
136	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	3	Q&A about other_1	speaker_2	How are you?
137	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	4	Q&A about other_1	speaker_1	Everything is fine, and how are you?
138	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	5	Q&A about other_1	speaker_2	Things are going well with me.
139	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	6	chat about other_1	speaker_1	Kara, I had fun the other night at the movies and was wondering if you would like to go out again this Friday.
140	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	7	chat about other_1	speaker_2	Mike, I don't think that it's a good idea to go out again.
141	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	8	chat about other_1	speaker_2	I really need to focus on getting packed and ready to move back home.
142	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	9	chat about other_1	speaker_1	Maybe we could just meet for coffee or something.
143	9: [1] greeting_1 [2] Q&A about other_1 [3] chat about other_1	10	chat about other_1	speaker_2	I can't really deal with any distractions right now, but I appreciate the nice evening we spent together.
144	10: [1] greeting_1 [2] ask about other_1	0	greeting_1	speaker_1	Sun-set hotel.
145	10: [1] greeting_1 [2] ask about other_1	1	ask about other_1	speaker_1	May I help you?
146	10: [1] greeting_1 [2] ask about other_1	2	ask about other_1	speaker_2	Yes, I have booked a room for 24th.
147	10: [1] greeting_1 [2] ask about other_1	3	ask about other_1	speaker_2	It's a double room.
148	10: [1] greeting_1 [2] ask about other_1	4	ask about other_1	speaker_1	Hold on, please.
149	10: [1] greeting_1 [2] ask about other_1	5	ask about other_1	speaker_1	Let me check it for you.
150	10: [1] greeting_1 [2] ask about other_1	6	ask about other_1	speaker_1	Yes, you're right.
151	10: [1] greeting_1 [2] ask about other_1	7	ask about other_1	speaker_1	You will keep it for 3 days.
152	10: [1] greeting_1 [2] ask about other_1	8	ask about other_1	speaker_2	Well, now I want to change the date from 24th to 28th.
153	10: [1] greeting_1 [2] ask about other_1	9	ask about other_1	speaker_1	OK, that shall be arranged.
154	11: [1] Q&A about other_1 [2] chitchat about other_1	0	Q&A about other_1	speaker_1	Are you busy tomorrow morning?
155	11: [1] Q&A about other_1 [2] chitchat about other_1	1	Q&A about other_1	speaker_2	I'm free.
156	11: [1] Q&A about other_1 [2] chitchat about other_1	2	chitchat about other_1	speaker_2	What's up?
157	11: [1] Q&A about other_1 [2] chitchat about other_1	3	chitchat about other_1	speaker_1	Someone has to pick up the boss at the airport.
158	11: [1] Q&A about other_1 [2] chitchat about other_1	4	chitchat about other_1	speaker_2	Oh, I just remembered I've got a report to write.
159	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	0	other_1	speaker_1	I'm sorry I'm so late.
160	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	1	other_1	speaker_1	I had a really bad day.
161	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	2	other_1	speaker_2	It's ten after six.
162	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	3	other_1	speaker_1	I know.
163	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	4	other_1	speaker_1	I'm really sorry.
164	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	5	nan_1	speaker_1	I lost my bag.
165	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	6	nan_2	speaker_2	I'll call the lost and found office.
166	12: [1] other_1 [2] nan_1 [3] nan_2 [4] nan_3	7	nan_3	speaker_1	I didn't think of it.
167	13: [1] greeting_1 [2] ask about other_1 [3] book recommendation_1	0	greeting_1	speaker_1	Nani Book Store.
168	13: [1] greeting_1 [2] ask about other_1 [3] book recommendation_1	1	ask about other_1	speaker_1	How can I help you?
169	13: [1] greeting_1 [2] ask about other_1 [3] book recommendation_1	2	book recommendation_1	speaker_2	Do you have the 'The man and the Sea' by Ernest Hemingway?
170	13: [1] greeting_1 [2] ask about other_1 [3] book recommendation_1	3	book recommendation_1	speaker_1	Yes, we have one copy left.
171	13: [1] greeting_1 [2] ask about other_1 [3] book recommendation_1	4	book recommendation_1	speaker_2	Can you hold it for me?
172	14: [1] ask about other_1 [2] saying goodbye_1	0	ask about other_1	speaker_1	Do you have maps of downtown area?
173	14: [1] ask about other_1 [2] saying goodbye_1	1	ask about other_1	speaker_2	Yes, here you are.
174	14: [1] ask about other_1 [2] saying goodbye_1	2	ask about other_1	speaker_1	How much is it?
175	14: [1] ask about other_1 [2] saying goodbye_1	3	ask about other_1	speaker_2	It's free of charge.
176	14: [1] ask about other_1 [2] saying goodbye_1	4	saying goodbye_1	speaker_1	Thanks so much.
177	15: [1] other_1	0	other_1	speaker_1	Hi there, I want to reserve a hotel room.
178	15: [1] other_1	1	other_1	speaker_2	No problem at all.
179	15: [1] other_1	2	other_1	speaker_2	Could I have your full name, please?
180	15: [1] other_1	3	other_1	speaker_1	Sure, John Sandals.
181	15: [1] other_1	4	other_1	speaker_2	Hi, Mr. Sandals.
182	15: [1] other_1	5	other_1	speaker_2	I'm Michelle, at your service.
183	15: [1] other_1	6	other_1	speaker_2	When do you need the room?
184	15: [1] other_1	7	other_1	speaker_1	My plans are to be there April 14th to the 17th.
185	15: [1] other_1	8	other_1	speaker_2	We have new room rates, sir.
186	15: [1] other_1	9	other_1	speaker_2	Will that be acceptable to you?
187	15: [1] other_1	10	other_1	speaker_1	Well, it depends on the price, of course.
188	15: [1] other_1	11	other_1	speaker_1	What is it?
189	15: [1] other_1	12	other_1	speaker_2	It's $ 308 a night.
190	15: [1] other_1	13	other_1	speaker_1	I have no problem with that.
191	15: [1] other_1	14	other_1	speaker_2	Great!
192	15: [1] other_1	15	other_1	speaker_2	Would you prefer smoking or nonsmoking?
193	15: [1] other_1	16	other_1	speaker_1	Definitely nonsmoking.
194	15: [1] other_1	17	other_1	speaker_1	I can't handle that smell.
195	15: [1] other_1	18	other_1	speaker_2	Nonsmoking.
196	15: [1] other_1	19	other_1	speaker_2	Now, is a queen-size bed okay?
197	15: [1] other_1	20	other_1	speaker_1	No problem.
198	15: [1] other_1	21	other_1	speaker_2	Great, Mr. Sandals.
199	15: [1] other_1	22	other_1	speaker_2	Your reservation is confirmed.
200	15: [1] other_1	23	other_1	speaker_2	Now all I need is your phone number.
201	15: [1] other_1	24	other_1	speaker_1	Of course!
202	15: [1] other_1	25	other_1	speaker_1	It's area code 626-555-1739.
203	15: [1] other_1	26	other_1	speaker_2	Thank you so much, Mr. Sandals.
204	15: [1] other_1	27	other_1	speaker_2	We look forward to seeing you!
205	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	0	ask about other_1	speaker_1	Could I have my bill, please?
206	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	1	other_1	speaker_2	Certainly, sir.
207	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	2	ask about other_2	speaker_1	I'm afraid there's been a mistake.
208	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	3	other_2	speaker_2	I'm sorry, sir.
209	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	4	ask about other_3	speaker_2	What seems to be the trouble?
210	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	5	ask about other_3	speaker_1	I believe you have charged me twice for the same thing.
211	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	6	ask about other_3	speaker_1	Look, the figure of 6.5 dollar appears here, then again here.
212	16: [1] ask about other_1 [2] other_1 [3] ask about other_2 [4] other_2 [5] ask about other_3	7	ask about other_3	speaker_2	I'll just go and check it for you, sir.
213	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	0	greeting_1	speaker_1	Good evening, madam.
214	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	1	ask about other_1	speaker_1	Can I help you?
215	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	2	Q&A about other_1	speaker_2	Yes.
216	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	3	Q&A about other_1	speaker_2	I bought this sheet here yesterday.
217	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	4	Q&A about other_1	speaker_1	Anything wrong with it?
218	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	5	Q&A about other_1	speaker_2	Yes.
219	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	6	Q&A about other_1	speaker_2	When I spread it out back home, I found this hole.
220	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	7	Q&A about other_1	speaker_1	Oh, how awful!
221	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	8	Q&A about other_1	speaker_1	May I have a look at the invoice?
222	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	9	Q&A about other_1	speaker_2	Here it is.
223	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	10	Q&A about other_1	speaker_1	Well.
224	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	11	Q&A about other_1	speaker_1	please accept our sincere apologies, I'll be glad to change it for another one if you wish.
225	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	12	Q&A about other_1	speaker_2	That's very kind of you.
226	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	13	Q&A about other_1	speaker_2	Thank you.
227	17: [1] greeting_1 [2] ask about other_1 [3] Q&A about other_1 [4] nan_1	14	nan_1	speaker_1	We're sorry that this has happened, and I guarantee that the same mistake won't happen again.
228	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	0	ask about other_1	speaker_1	I need to buy some flowers for my wife.
229	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	1	flower recommendation_1	speaker_2	Perhaps you'd be interested in red roses.
230	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	2	flower recommendation_1	speaker_1	What would the roses cost me?
231	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	3	flower recommendation_1	speaker_2	They're only $ 20 a dozen.
232	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	4	flower recommendation_1	speaker_1	I like the sound of that.
233	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	5	flower recommendation_1	speaker_2	Yes, that is today's sale price.
234	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	6	flower recommendation_1	speaker_1	A dozen will be fine.
235	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	7	ask about other_2	speaker_2	Is there anything else you'd like to get?
236	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	8	ask about other_2	speaker_1	No, thank you.
237	18: [1] ask about other_1 [2] flower recommendation_1 [3] ask about other_2 [4] other_1	9	other_1	speaker_2	These roses should make your wife very happy.
238	19: [1] greeting, ask about other_1 [2] ask about other_1	0	greeting, ask about other_1	speaker_1	Room service, is there anything I can do for you?
239	19: [1] greeting, ask about other_1 [2] ask about other_1	1	ask about other_1	speaker_2	Yes, I am afraid there are not enough outlets.
240	19: [1] greeting, ask about other_1 [2] ask about other_1	2	ask about other_1	speaker_1	Well, we have 6 for each room.
241	19: [1] greeting, ask about other_1 [2] ask about other_1	3	ask about other_1	speaker_2	Yes, but 4 of them are broken.
242	19: [1] greeting, ask about other_1 [2] ask about other_1	4	ask about other_1	speaker_2	Can you send someone here?
243	19: [1] greeting, ask about other_1 [2] ask about other_1	5	ask about other_1	speaker_1	OK sir, please wait a minute.
244	20: [1] Q&A about other_1	0	Q&A about other_1	speaker_1	Why'd you pull me over?
245	20: [1] Q&A about other_1	1	Q&A about other_1	speaker_2	Are you aware that you drove through a red light?
246	20: [1] Q&A about other_1	2	Q&A about other_1	speaker_1	I ran a red light?
247	20: [1] Q&A about other_1	3	Q&A about other_1	speaker_2	Yes, you did.
248	20: [1] Q&A about other_1	4	Q&A about other_1	speaker_1	I apologize, but I didn't realize that I did.
249	20: [1] Q&A about other_1	5	Q&A about other_1	speaker_2	Weren't you taught that yellow means slow down, not speed up?
250	20: [1] Q&A about other_1	6	Q&A about other_1	speaker_1	I did learn that.
251	20: [1] Q&A about other_1	7	Q&A about other_1	speaker_2	So, then why did you speed up?
252	20: [1] Q&A about other_1	8	Q&A about other_1	speaker_1	I don't know what to tell you.
253	20: [1] Q&A about other_1	9	Q&A about other_1	speaker_2	I'm going to have to write you a ticket.
254	20: [1] Q&A about other_1	10	Q&A about other_1	speaker_1	I understand.
